Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
司機價表, ,九龍,港島,機場/東涌,大埔/上水,西貢,元朗市/落馬洲,將軍澳,沙田,郵碼
,九龍,250,310,400,360,360,410,310,310,250
,港島,300,250,460,450,450,460,360,410,300
,機場/東涌,400,460,250,450,500,400/430,480,400,400
,大埔/上水,360,450,450,250,390,310,360,290,450
,西貢,360,450,500,390,250,460,290,360,400
,元朗市/落馬洲,410,460,400/430,310,460,250,440,410,450
,將軍澳,310,360,480,360,290,440,250,360,300
,沙田,310,410,400,290,360,410,360,250,300
,郵碼,250,300,380,450,400,450,300,300,
,,,,,,,,,,
,,,,,,,,,,
,Disney > AP,350,,,,,,,,
,AP > Disney ,400,,,,,,,,
,東涌　＞ＡＰ,250,,,,,,,,
,ＡＰ＞　東涌,300,,,,,,,,
